comid,huc8_from,huc8_to
12902086,10080001,10080005
12913567,10070008,10070007
13221941,10090210,10090209
13235013,10100003,10100001
13246138,10100002,10100001
13254383,10100001,10100004
13466322,10110204,10110205
14376409,10120112,10130105
14399470,10120109,10120111
14482762,10130101,10130102
14485572,10130206,10130102
14485742,10130104,10130102
14496940,10130306,10130102
14505178,10130102,10130105
14519781,10130201,10130101
14539620,10120113,10120112
14555731,10120111,10120112
14566514,10110203,10110205
14586267,10110102,10110101
14610434,10250011,10250009
14625774,10230003,10230001
14626284,10230005,10230003
14682372,10130103,10130102
15963456,10180005,10180004
15966999,10180004,10180003
15976262,10180006,10180003
15976270,10180003,10180007
15977496,10180002,10180003
15994946,10180001,10180002
16012142,10170103,10170102
16016398,10170102,10170101
16025615,10150005,10150004
16039596,10150004,10150007
16053998,10150003,10150004
16068627,10150002,10150003
16076134,10140202,10140204
16093991,10140201,10140202
16130497,10140102,10140101
16159578,10130305,10130306
16175418,10130304,10130305
16188778,10130302,10130303
16214770,10130204,10130206
16225269,10130203,10130102
16238041,10130202,10130203
17219390,10230007,10230006
17219530,10230006,10240001
17240710,10230002,10230001
17245948,10230004,10230001
17246492,10230001,10230006
17264627,10220003,10200202
17274736,10220002,10220003
17288105,10220001,10220003
17299974,10210010,10210009
17309874,10210009,10200103
17319632,10210008,10210007
17324421,10210007,10210009
17334243,10210006,10210007
17341443,10210005,10210004
17356999,10210004,10210003
17375744,10210003,10210009
17391633,10210002,10210003
17394920,10210001,10210003
17399989,10200203,10200202
17416474,10200202,10240001
17424618,10200201,10200202
17435080,10190018,10200101
17443780,10190017,10190016
17451617,10190012,10190018
17457349,10190015,10190016
17465566,10180014,10200101
17470213,10180013,10180009
17483383,10180011,10180009
17485389,10180010,10180011
17508864,10180012,10180009
17523536,10180009,10180014
17535043,10120110,10120111
18771288,10270206,10270207
18792702,10270204,10270202
18805617,10270203,10270202
18822384,10270202,10270205
18831989,10270201,10270202
18841714,10270101,10270102
18850632,10260011,10260012
18853724,10260012,10260015
18883090,10260010,10260008
18939590,10260005,10260003
18944361,10260004,10260003
18951675,10260003,10260006
18967684,10260002,10260003
18967738,10260001,10260003
19043531,10250009,10250016
19043561,10250015,10250009
19063324,10250008,10250009
19075329,10250006,10250005
19081619,10250005,10250004
19094021,10250007,10250004
19095575,10250004,10250009
19129065,10240009,10240010
19153189,10240008,10240005
19158078,10240007,10240008
19161769,10240006,10240005
19167241,10240003,10240004
19210355,10240002,10240004
19251225,10130105,10140101
20178457,10140203,10140204
21540576,10110205,10110101
21543560,10110101,10130101
21861136,10130205,10130206
21873545,10100004,10110101
22095291,10180008,10180009
22109495,10180007,10180008
24094614,10220004,10220003
24095198,10240005,10240011
24595173,10060007, 
25068602,10260006,10260008
27555905,10130301,10130302
940030034,10020008,10030101
940080029,10080011,10080010
940120150,10120202,10120111
940130350,10130106,10130102
940130672,10130303,10130102
940190220,10190016,10190018
940260239,10260008,10270101
371339,11110101,11110102
393360,11100301,11100302
404770,11110103,11110102
417205,11100302,11090204
426416,11130210,11140101
430734,11130303,11130304
431668,11130304,11130210
485356,11090203,11090202
494212,11050003,11060006
512821,11090204,11110102
540809,11100303,11100302
560019,11120302,11120303
564477,11120303,11130101
576026,11130203,11130202
593734,11140105,11140106
618970,11140107,11140109
631069,11140108,11140109
674776,11130202,11130201
687381,11130302,11130303
699952,11140102,11140101
709106,11140103,11140101
842207,11070105,11110101
847330,11070107,11070105
914253,11020008,11020009
920987,11020001,11020002
934042,11020010,11020009
952589,11020002,11020005
976192,11020005,11020009
981411,11020007,11020005
992915,11020011,11020009
999426,11020012,11020011
1000723,11020013,11020009
1006701,11020004,11020005
1011780,11140305,11140306
1016769,11140306,11140304
1042481,11140307,11140306
1128345,11140303,11140302
1136404,11140304,11140202
1423102,11020006,11020005
1534879,11020003,11020002
1543515,11110105,11110104
1545575,11110102,11110104
1596341,11020009,11030001
3134651,11130201,11130210
3142766,11130301,11130302
3747896,11140109,11140106
3761706,11140204,11140203
4300937,11140301,11140302
5265194,11090106,11090201
5266548,11090201,11090202
6030404,11090202,11090204
6068088,11140104,11140103
7526465,11010008,11010009
7549109,11010010,11010009
7551171,11010009,11010004
7573973,11010011,11010010
7592721,11070207,11070206
7601111,11070208,11070206
7629420,11010003,11010004
7653881,11010006,11010004
7674424,11010007,11010009
7754492,11110201,11110202
7756166,11110104,11110201
7771859,11110202,11110203
7791636,11110206,11110203
7800859,11110204,11110203
7818688,11110205,11110203
8343979,11140206,11140202
8352423,11140101,11140106
8360095,11130208,11130201
8585772,11010002,11010001
8586112,11010001,11010003
11782651,11010014,11010013
11810528,11010012,11010009
11816119,11010005,11010004
11833794,11010004,11010013
13520647,11130205,11130206
13526474,11130204,11130206
13534209,11120202,11130101
13546681,11120201,11120202
13661551,11130209,11130201
13730383,11130207,11130206
13732274,11130206,11130201
13747862,11120304,11120303
13766593,11120301,11120302
13811176,11100203,11100301
13818441,11100202,11100203
13824856,11100201,11100301
13835939,11100104,11100102
13846093,11100103,11100102
13853161,11100102,11100201
13860870,11100101,11100102
13943846,11120104,11120103
13954875,11120103,11120105
13956967,11120105,11130101
13970168,11130101,11130102
13970222,11130105,11130102
13971016,11130102,11130201
14001755,11130104,11130105
14001757,11130103,11130105
14320627,11010013,08020301
15942219,11120102,11120103
15942227,11120101,11120103
19914366,11140208,11140207
19915404,11140209,11140208
19936541,11140203,11140202
19945647,11140202,11140207
19947740,11140106,11140201
19950140,11140302,11140201
19970870,11090105,11090106
19991845,11090104,11090103
20001352,11090103,11090102
20001474,11090102,11090101
20005193,11090101,11090105
20017395,11080008,11080006
20031197,11080003,11080006
20031461,11080006,11090101
20032389,11080007,11080006
20045638,11080004,11080003
20052843,11080005,11080003
20060164,11080002,11080003
20066435,11080001,11080003
20073117,11040003,11040006
20081772,11030017,11030018
20872914,11070204,11070205
20877716,11070205,11070206
20907003,11070203,11070201
20908049,11070202,11070203
20932366,11070201,11070204
20943782,11070104,11070103
20958572,11070101,11070102
20958576,11070102,11070103
20973380,11060006,11110101
20988329,11060005,11060004
21002365,11060004,11060006
21015293,11060003,11060004
21028026,11060002,11060004
21035465,11030018,11060001
21037753,11060001,11060006
21047788,11050001,11050002
21066624,11040008,11050001
21086998,11040007,11040008
21098897,11040006,11040008
21111694,11040004,11040003
21113969,11040002,11040006
21126641,11040001,11040002
21134621,11030013,11060001
21144824,11030015,11030016
21145548,11030016,11030013
21160969,11030014,11030016
21177370,11030012,11030013
21187587,11030011,11030010
21193830,11030009,11030010
21201378,11030008,11030004
21210059,11030007,11030008
21214869,11030006,11030005
21226961,11030005,11030004
21240206,11030003,11030004
21246849,11030002, 
21251516,11030001,11030003
21773239,11070206,11070209
21773893,11070209,11110102
21785724,11070106,11070105
21799057,11070103,11070105
22077871,11030010,11030013
22080899,11030004,11030010
22847961,11110203,11110207
22850075,11110207,08020401
167297864,11140205,11140204
941040191,11040005,11040003
941050053,11050002,11050003
941140107,11140201,11140202
941140164,11140207, 08040301
209929,12110208, 
1077643,12020001,12020002
1078897,12020002,12020003
1145428,12020007,12020003
1158941,12020004,12020005
1160719,12020005,12020003
1166609,12020006,12020003
1264655,12030105,12030201
1269780,12030102,12030105
1279648,12030103,12030105
1287711,12030104,12030103
1294198,12030106,12030105
1300458,12030107,12030105
1306945,12030101,12030102
1433451,12110201,12110202
1440477,12040104,12040203
1448010,12030109,12030108
1456323,12030201,12030202
1468428,12040103,12040101
1469612,12040101,12040104
1477505,12020003,12040201
1494048,12030202,12030203
1508325,12040102,12040101
1523651,12030203,12040202
1523997,12040202, 
1559026,12040203, 
1563610,12040204, 
1574680,12040205, 
1588293,12110205, 
1609020,12090401, 
1615424,12090402, 
1623369,12100202,12100204
1632017,12100203,12100202
1636535,12110202, 
1640215,12100204,12100403
1643861,12100303,12100403
1648864,12110203, 
1657155,12110204, 
1660732,12110206,12110205
1665357,12110207, 
2572328,12070202,12070201
2572780,12070201,12070203
3121538,12070101,12070104
3125212,12070104, 
3154687,12100404,12100403
3160499,12100405, 
3172512,12110111,12110201
3589578,12100201,12100202
3766342,12090302, 
4133145,12030108,12030201
5256723,12010001,12010002
5290259,12100406,12100405
5293763,12010003,12010002
5298501,12100407,12100405
5487027,12060102,12060104
5499450,12060201,12060202
5507108,12060103,12060104
5514790,12060202,12070101
5521348,12060104,12060201
5523992,12060203,12060202
5525867,12060105,12060104
5531596,12060204,12060203
5544034,12060101,12060201
5570271,12070102,12070101
5579047,12070103,12070101
5592244,12070203,12070204
5593100,12070204,12070101
5617434,12080001,12080002
5635929,12080002,12080008
5654670,12080008,12090101
5656548,12090101,12090106
5671495,12070205,12070204
5683653,12080003,12080004
5690898,12080005,12080004
5702833,12090102,12090105
5702865,12090103,12090102
5712877,12090104,12090105
5714893,12080006,12080007
5714895,12080004,12080007
5715109,12080007,12080008
5718726,12090105,12090106
5729263,12090106,12090201
5735553,12090108,12090107
5737005,12090107,12090106
5746512,12090109,12090201
5754392,12090110,12090109
5757818,12090204,12090201
5757862,12090201,12090205
5762659,12090202,12090204
5765169,12090203,12090204
5780397,12090206,12090205
5789878,12090205,12090301
5791934,12090301,12090302
7843191,12100101,12100102
7847707,12100102, 
7852413,12100304,12100303
7866486,12100403, 
7872307,12110101,12110103
7876612,12110102,12110103
8333624,12010005,12040201
9350061,12100402, 
9356820,12100401, 
9535873,12010004,12010005
10624041,12110104,12110103
10630401,12110103,12110105
10631455,12110105,12110111
10655943,12110107,12110106
10661028,12110106,12110108
10664258,12110108,12110111
10671447,12110109,12110108
10828988,12110110,12110108
10836114,12100302,12100301
10840568,12100301,12100303
13494837,12050002,12050003
13514834,12050001,12050003
13681329,12050005,12050006
13700659,12050003,12050004
14034073,12050004,12060101
14034081,12050006,12050007
14034505,12050007,12060101
24719331,12040201,12040202
942010023,12010002,12010004
267849,13040100,13040201
276436,13040202,13040203
280257,13040211,13040210
282956,13040203,13040205
285566,13040302, 
285568,13040212,13080001
287847,13040204,13040205
290337,13040205,13040208
295063,13040206,13040208
297811,13040207,13040206
300833,13040208,13040212
303532,13040209,13040208
308265,13040201,13040203
315329,13040210,13040212
319379,13080001,13080002
326437,13080003,13090001
331468,13070007,13070008
332978,13070008,13070012
334014,13070012,13040212
338159,13090001,13090002
607691,13080002,13080003
626220,13090002, 
3155649,13070009,13070008
3158167,13070010,13070012
3212479,13070001,13070007
3217620,13070011,13070012
3222973,13030101,13030102
12093882,13040303,13040302
12095093,13040301,13040302
17715352,13030201, 
17727402,13020211,13030101
17763025,13020208, 
17785007,13020206,13020207
17789879,13020205,13020204
17797860,13020207,13020204
17811938,13020209,13020203
17813236,13020203,13020211
17828488,13020202,13020203
17836188,13020201,13020203
17863698,13020102,13020101
17865930,13020101,13020201
17876457,13010005,13010002
17889966,13010003, 
17894785,13010001,13010002
17899447,13010002,13020101
20745435,13070006,13070007
20748161,13070005,13070003
20757740,13070004,13070003
20758498,13070002,13070001
20766191,13060009,13060007
20773836,13060008,13060007
20791611,13060006,13060005
20795612,13060005,13060007
20805643,13060003,13060007
20813056,13060002,13060001
20818460,13060001,13060003
20832408,13050004, 
20849799,13050003, 
20864943,13050002, 
20867464,13050001, 
22233694,13060004,13060003
22423332,13060010,13060011
22459581,13060011,13070001
943010060,13010004,13010003
943020181,13020210, 
943020235,13020204,13020203
943030230,13030102,13040100
943030266,13030202, 
943030292,13030103, 
943060137,13060007,13060011
943070035,13070003,13070001
1235819,14010001,14010005
1311729,14010002,14010001
1322566,14010003,14010001
1324997,14010004,14010005
1333564,14020001,14020002
1338068,14020004,14020005
1341084,14050005,14050007
1374702,14060001,14060005
1384438,14080205,14070006
1385452,14080204,14080205
1385480,14080201,14080205
1394777,14060002,14060001
1399936,14080202,14080201
1400642,14080203,14080201
2522744,14030001,14030005
3109535,14050002,14060001
3113285,14050001,14050002
3176492,14010005,14030001
3229983,14020005,14010005
3239735,14050006,14050007
3252097,14020002,14020005
3252709,14020003,14020002
3265776,14040108,14040107
3279493,14070005,14070001
3380891,14030005,14070001
3387531,14040105,14040106
3415974,14040109,14040106
3519797,14060006,14060005
3897915,14060005,14060008
3910957,14060007,14060008
4879797,14060009,14060008
4886693,14070004,14070001
4888133,14070001,14070006
4896151,14070002,14070004
4902139,14070003,14070004
4932636,14060008,14070001
5305946,14050007,14060005
9767880,14020006,14020005
10036472,14040107,14040106
10042302,14040106,14060001
11982495,14060004,14060003
11986467,14060003,14060005
16964239,14080107,14080201
16968622,14080106,14080105
17003336,14080105,14080201
17016191,14080104,14080105
17021571,14080103,14080101
17034989,14080102,14080101
17038579,14080101,14080105
18267741,14070007,15010002
18272400,14050004,14050003
18280359,14050003,14050002
18293484,14040200, 
18304040,14040104,14040103
18315898,14040103,14040106
18351861,14040102,14040101
18355241,14040101,14040103
18369932,14030004,14030005
18374824,14030003,14030004
18382301,14030002,14030004
20733845,14070006,15010002
2430698,15040001,15040002
3077289,15040002,15040005
4914262,15010008,15010010
10018420,15030102,15030101
15837009,15080200, 
15838510,15080102, 
15842570,15080101, 
15852025,15070203,15070201
15857389,15070202,15070201
15862305,15050306,15050303
15874319,15050304,15050303
15882754,15050303,15050100
15890430,15050301,15050303
15892884,15050302,15050301
15915391,15050203,15050100
15929409,15050202,15050203
19895769,15020003,15020002
20372843,15080301, 
20380457,15070201,15030107
20395635,15070104,15070101
20406521,15070103,15070101
20440142,15060203,15060106
20451378,15060201,15060202
20454286,15060202,15060203
20479750,15060106,15070101
20487058,15060102,15060103
20492487,15060101,15060103
20506632,15020018,15020016
20513268,15020017,15020016
20516013,15020016,15010001
20525885,15020015,15020008
20531151,15020014,15020008
20542802,15020012,15020013
20542814,15020013,15020008
20547426,15020011,15020008
20560181,15020007,15020009
20565197,15020006,15020007
20574263,15020004,15020002
20585864,15020001,15020002
20604102,15010013,15010012
20653466,15010009,15010008
20664952,15010007, 
20672859,15010006,15010005
20677839,15010012,15010005
20677939,15010010,15010005
20691582,15010004,15010002
20709491,15010003,15010002
20721860,15010002,15010005
20735673,15010001,15010002
21268022,15050100,15070101
21302963,15040006,15040005
21320461,15040007,15040005
21320525,15040005,15050100
21359215,15040004,15040005
21382988,15030204,15030101
21389988,15030203,15030204
21404075,15030201,15030204
21410126,15030108, 
21412853,15030104,15030107
21412883,15030107, 
21416137,15030106,15030104
21420492,15030105,15030104
21429050,15030103,15030101
21439479,15030101,15030104
21735234,15060104,15060103
21743809,15020008,15020016
21750969,15020009,15020008
21754076,15020005,15020002
22071060,15010015,15010005
22187743,15080103, 
22431804,15060105,15060103
22439652,15060103,15060106
24950581,15040003, 
24979666,15070102,15070101
25129276,15030202,15030201
25133228,15010011,15010012
25138764,15010005,15030101
25138778,15010014,15010005
162148461,15020002,15020009
945020592,15020010,15020008
945050107,15050305,15050306
945051018,15050201, 
945070197,15070101,15070201
945080058,15080303, 
945080061,15080302, 
1173970,16020307,16020308
1174468,16020308,16020310
1199836,16030009, 
1199846,16030005,16030009
1213537,16030007,16030008
3502543,16030003,16030005
3502909,16030004,16030003
3507383,16030001,16030003
4469009,16010201,16010202
4562372,16010202,16010204
4564522,16010203,16010202
4608830,16010204,16020310
7881192,16010101,16010102
7897811,16010102,16010201
7913954,16020310, 
8932612,16050102,16050103
8942039,16050101,16050102
8949184,16040203,16040202
10090878,16020101,16020102
10273232,16020102,16020310
10329215,16020201,16020204
10349234,16020202,16020201
10376596,16020203,16020201
10390202,16020204,16020310
10402153,16020302, 
10675144,16020305,16020310
10682508,16020306, 
10694707,16060004, 
10719408,16060001, 
10734312,16050303,16050304
10751193,16040103,16040101
10782860,16040101,16040105
10784666,16040102,16040101
10806045,16030002,16030001
11138484,16040109,16040108
11157089,16040105,16040108
11160891,16040108,16050203
11171959,16040107,16040105
11191573,16040106,16040105
11225408,16040104,16040105
11284662,16040202, 
11323142,16050104, 
11363705,16060009, 
11432263,16050201,16050202
11432949,16050202,16050203
11677813,16060013, 
11851609,16040201,16040202
13069174,16050203, 
19809637,16060014, 
19833722,16060011, 
19860136,16060010, 
19875302,16060003, 
19887653,16060002, 
22823956,16060007, 
24623512,16030008,16030005
25227992,16040204, 
165536688,16060008, 
946020018,16020309,16020310
946020037,16020304,16020310
946020430,16020301,16020306
946020680,16020303, 
946030188,16030006, 
946040234,16040205, 
946050038,16050103, 
946050088,16050302,16050303
946050089,16050301,16050303
946050252,16050304, 
946060015,16060005, 
946060039,16060015, 
946060194,16060006, 
946060337,16060012, 
22877591,17010101,17010104
22894901,17010102,17010101
22900496,17010103,17010104
22904467,17010104, 
22910485,17010105,17010104
22911954,17010203,17010204
22936932,17010204,17010213
22949223,17010206,17010208
22957035,17010207,17010208
22975966,17010213,17010214
22988587,17010215,17010214
22994727,17010216, 
23002026,17010302,17010303
23021612,17010307,17020001
23021906,17010305,17010307
23023198,17010306,17010307
23026708,17010308,17010307
23031212,17020001,17020005
23040711,17020002,17020001
23045991,17020003,17020001
23053001,17020004,17020001
23064707,17020006,17020005
23067181,17020007,17020006
23073731,17020009,17020010
23080508,17020011,17020010
23091041,17020012,17020010
23096902,17020014,17020013
23099410,17030003,17020016
23123129,17040101,17040103
23130848,17040102,17040103
23162727,17040209,17040212
23174071,17040210,17040209
23184739,17040211,17040209
23195736,17040213,17040212
23207650,17020010,17020016
23207968,17020005,17020010
23227722,17040215, 
23228564,17040214, 
23230457,17040216, 
23232963,17040217, 
23241390,17040218, 
23251873,17040220,17040219
23266830,17040221,17040219
23275952,17050101,17050103
23283553,17050102,17050101
23299860,17050103,17050115
23315888,17050104,17050107
23332996,17050105,17050107
23344216,17050106,17050105
23351069,17050108,17050107
23377108,17050111,17050112
23382135,17050112,17050114
23386211,17050113,17050112
23410391,17050117,17050115
23410927,17050114,17050115
23413215,17050116,17050117
23428370,17060104,17060106
23438371,17060105,17060106
23441975,17060106,17060103
23448899,17060107,17060110
23459495,17060108,17060110
23470784,17060109,17060108
23478115,17060201,17060203
23498759,17060202,17060203
23503036,17060203,17060207
23512636,17060204,17060203
23518705,17060205,17060206
23531827,17060206,17060207
23540534,17060207,17060209
23550972,17060208,17060207
23568765,17060210,17060209
23573300,17060301,17060302
23580565,17060302,17060304
23588124,17060303,17060304
23595535,17060304,17060306
23597175,17060305,17060306
23607594,17060306,17060107
23630072,17060308,17060306
23630350,17060307,17060308
23662959,17070106,17070105
23670625,17070202,17070204
23672941,17070203,17070202
23673931,17070201,17070204
23685376,17070204,17070101
23700101,17070301,17070306
23706172,17070302,17070301
23708425,17070303,17070304
23713906,17070305,17070301
23718703,17070306,17070105
23721891,17070307,17070306
23736131,17080001,17090012
23736161,17070105,17080001
23744000,17080004,17080005
23759222,17090002,17090001
23763449,17090001,17090003
23772701,17090004,17090003
23780405,17090005,17090003
23785607,17090006,17090005
23791389,17090003,17090007
23791899,17090008,17090007
23800560,17090009,17090007
23804830,17090010,17090007
23809000,17090011,17090007
23815058,17090007,17090012
23832907,17080006,17100201
23838450,17100101, 
23844949,17100102, 
23850165,17100103,17100104
23856583,17100105,17100106
23864738,17100106, 
23871145,17100201, 
23871829,17100202,17100203
23876101,17100203, 
23881060,17100204, 
23886240,17100205,17100206
23889434,17100206,17100207
23893333,17100207, 
23893934,17100301,17100303
23900907,17100302,17100303
23909577,17100304, 
23914361,17100305,17100306
23920590,17100306, 
23922974,17100307,17100308
23935763,17100309,17100310
23940171,17100310,17100312
23940651,17100308,17100310
23941745,17100311,17100310
23949563,17100312, 
23952728,17110001, 
23953895,17110003,17110020
23957436,17110004,17110002
23970147,17110010,17110011
23977616,17110013,17110019
23980371,17110014,17110019
23990739,17110016,17110019
23997022,17110020,17110021
24001089,17110021, 
24006958,17120002,17120001
24013479,17120003,17120001
24019117,17120004,17120001
24026228,17120005,17120004
24035960,17120006, 
24044347,17120007, 
24057183,17120008, 
24073929,17120009, 
24114659,17010214,17010216
24125037,17030001,17030003
24143194,17050118,17050117
24154374,17050119,17050117
24158409,17050120,17050122
24164073,17050121,17050122
24166124,17050122,17050115
24176855,17050123,17050122
24183890,17050124,17050115
24192562,17050201,17060101
24193084,17050115,17050201
24199881,17050202,17050201
24207605,17050203,17050201
24219615,17060101,17060103
24224883,17060102,17060101
24227921,17060103,17060107
24232974,17070101,17070105
24235578,17070103,17070101
24235594,17070102,17070101
24235782,17070104,17070101
24241629,17080002,17090012
24254849,17110005,17110007
24264743,17110006,17110005
24270130,17110007,17110019
24271026,17110019,17110020
24274357,17110008,17110019
24279018,17110011,17110019
24281986,17110015,17110019
24285484,17110017,17110018
24286938,17110018,17110019
24293120,17010202,17010204
24293362,17010201,17010202
24319206,17010205,17010204
24339246,17010209,17010208
24344317,17010210,17010208
24349926,17010211,17010208
24355783,17010212,17010213
24356643,17010208,17010212
24372846,17010301,17010303
24379413,17010303,17010305
24382687,17020008,17020005
24405887,17020015,17020016
24406247,17020013,17020015
24422607,17030002,17030003
24438356,17040104,17040201
24439200,17040103,17040104
24439204,17040105,17040103
24451415,17040205,17040206
24451435,17040201,17040205
24459608,17040202,17040203
24472440,17040204,17040203
24478885,17040207,17040206
24490608,17040212,17050101
24491628,17040219,17040212
24515510,17070304,17070305
24520302,17080003,17080006
24520498,17090012,17080003
24521962,17080005,17080003
24534276,17110002,17110019
24537862,17110012,17110019
24540891,17050110,17050103
24541763,17050107,17050110
24544645,17050109,17050110
24557503,17040206,17040209
24558047,17040208,17040206
24938538,17060209,17060103
25010074,17040203,17040201
25055589,17100303,17100304
25074890,17010304,17010303
947020332,17020016,17070101
947060532,17060110,17070101
947100166,17100104,17100105
947110167,17110009,17110011
947120081,17120001, 
1670527,18050002,18050006
1889486,18040013,18040012
1892804,18040051,18040003
1909438,18040011,18040003
1909504,18040012,18040003
2495658,18020151,18020154
2496104,18020153,18020154
2496106,18020154,18020155
2544457,18010107,18010108
2553639,18010204,18010206
2665669,18010108, 
2702541,18010105,18010107
2773118,18020122,18020121
2776720,18020121,18020123
2778598,18020123,18020159
2788603,18050001,18050006
2788639,18040003,18050006
2805097,18050004,18050006
2819908,18040002,18040003
2819970,18040009,18040002
2829236,18040001,18040002
2833554,18040008,18040002
2858243,18020104,18020161
2864261,18020115,18020104
3798045,18010208,18010206
3917058,18010207,18010206
4296271,18020152,18020154
4438382,18010209,18010102
4440518,18010206,18010209
5329463,18050005, 
7917743,18020001, 
7951314,18020003,18020005
7951840,18020002,18020003
7963509,18020004,18020003
7966205,18020005,18020154
7975791,18020159,18020161
7982918,18020125,18020159
8200407,18060005,18060015
8231928,18010212,18010211
8241636,18010211,18010209
8261865,18010210,18010209
8272933,18010110,18010109
8281731,18010109, 
8284766,18010106,18010105
8295181,18010104,18010105
8303364,18010103,18010105
8317553,18010102, 
12068888,18020155,18020156
12074338,18020156,18020157
12076164,18020157,18020104
14972941,18030002,18030001
14980774,18020129,18020128
14996713,18020128,18020111
15024919,18020111,18020161
15036383,18020162,18020163
15048425,18020163,18050006
15059811,18020161,18020163
15072934,18020126,18020159
17116483,18040006,18040001
17140902,18030009,18040001
17155414,18030006, 
17155464,18030007,18030012
17159214,18030012,18030006
17161708,18030005,18030012
17165784,18030004,18030012
17170112,18030003, 
17562700,18070103, 
17573699,18070102,18070101
17587726,18070101, 
17590276,18060014, 
17596211,18060013, 
17599293,18060006, 
17605441,18060015, 
17620670,18060009, 
17623995,18060008,18060009
17635028,18060007,18060008
17648965,18060004,18060005
17657279,18060003, 
17665749,18060002,18060015
17688301,18050006,18060015
17695611,18050003,18050006
19784451,18040014,18040001
20204804,18090205, 
20259695,18090201, 
20270239,18090103,18090205
20287722,18090101,18090102
20296925,18080003, 
20315416,18080001, 
20324441,18070305,18070304
20331522,18070304, 
20342653,18070303,18070304
20350775,18070301, 
20357346,18070204, 
20359324,18070201, 
20362557,18070107, 
20366323,18070104, 
22063199,18030010,18030012
22226684,18010101, 
22518294,18070105,18070106
22525185,18070106, 
22549123,18070302,18070303
22561410,18070203,18070204
22592749,18100201,18100204
22598995,18100202,18100204
22599073,18100203,18100204
22599807,18100204, 
22653169,18090208,18090203
22677316,18090206,18070102
24081511,18010201,18010203
24082229,18010202,18010203
24688082,18020158,18020104
24757076,18030001,18030003
163864378,18060010,18060013
163864515,18090102,18090103
948010002,18010203,18010204
948010239,18010205, 
948021159,18020116,18020162
948040397,18040007,18040001
948040413,18040010,18040003
948070207,18070202,18070203
948080332,18080002, 
948090631,18090203, 
948090648,18090202,18090203
948091000,18090204, 
948091293,18090207, 
948100283,18100100, 
